ReviewDate,Comment_id,ReviewDesc,ReviewerName,Rating,product_name,Product_ids
2018-12-06,9885,"Unfortunately, after 3-5 seconds the music breaks off every time. Takes 2 weeks after the end of the return period. Very bad. Therefore not to use. And a star.",Ashwanth,1,BTS Heart Shaped Black Forest Cake,6752
2019-04-17,11059,"Plain and simple. He loved it LOL
",karuna,5,Comical Love Cards,17375
2019-05-31,12448," the mug was really fantastic 
",ravi ,5,Brew-Tiful Love,17266
2019-11-27,17710,"Really amazing surprise. I am happy with the product
",Priyanka,5,Magnet Mémoire – Moments in Magnets,17370
2019-01-11,10340,"Thanks for the perfect delivery. I gifted it to my friend he felts very happy. We like this a lot. 
",Navya,5,All About You – Personalized Cushion,17309
2019-03-26,10755,"I can’t explain my words on this surprise from my husband. It is so beautiful. I felt very happy when we ate without light.
",ruthvika,5,Taste The Darkness(The Secret Supper),16199
2019-04-26,11369,"satisfied with delivery. and the selection of the flowers was suitable
",divya,5,BTS A BIG Affection N Love,15812
2019-11-27,17783,"Very nice and brilliant idea of surprise
",Priyanka,5,Name A Star For Sibling,18681
2019-05-21,12078,"I received this article already in December, because I expect young people in June and really looked forward to it after all the awards on Instagram and Co.. I noticed already at the first commissioning that one attitude gives an incredibly disturbing noise of itself and that the engine is still very loud during the breathing movement. In my opinion therefore not at all suitable for newborns or babies. The functions themselves are really sweet, so I ordered it again, in the hope that it was a Sunday model. Unfortunately this was not the case.",mani,2,Lovers Lamp,17314
2019-05-18,12026,"Iimpressed with this gift. Thank you BTS team for delivery.
",chinni,5,Heart Lamp,17340
2019-02-07,10442,"This cuddle is too cute I like it very much. Nice service with perfect delivery.
",Harika,5,Cuddle Pillow,17352
2019-11-26,17460,"Really happy with the quality and the delivery time of the flowers.
",Priyanka,5,BTS Beautiful Carnation Bunch,15848
2019-03-13,10653,I'm a bit disappointed because I paid a cost expensive! Now I get the news that I'll have to go get in the mail that is on the other side of the city I live! I paid the freight to receive at home !! But .... ,hari,1,BTS Charm,15838
2019-05-24,12210,This product didn't work for my 1 year old daughter I think I gave her too late but I find the concept great and perfect to help baby make her nights,sravanthi,4,Romantic Love Contract,34905
2019-11-26,17373,"Really had a great experience doing this.
",Priyanka,5,Become a Pilot for a Day,18196
2018-12-10,9930,"super cake with nice design. Excellent service.
",Bharath,5,BTS Lemon Blueberry Cake,6168
2019-04-09,10954,"Such a lovely gift. I like it so much. good work BTS team
",Kushi,5,Name A Star,18111
2019-11-26,17414,"Amazing surprise idea
",Priyanka,5,Open Me – Send New Born Wishes,26972
2018-12-19,10132,"Thank you for offering a modern approach to ordering flowers! These flowers are really fresh.
",Praveena,5,BTS Beautiful Pink Combination,15863
2019-04-29,11460,"A very nice cuddle, cuddly toy and sleep aid. Unfortunately he makes after one because a strongly quenching noise, when one activates the breathing. The noise is so disturbing that we use the gift only without it. Very bad.",jashwanth,3,Blow Me – Say Miss You,17707
2019-03-13,10653,"I satisfied with your service. good delivery. I felt very happy. I love flowers
",hari,5,BTS Charm,15827
2019-06-27,13260,"Looks great thank you so much. excellent creativity. 
",naveen ,5,Photo In a Jar,17409
2018-12-06,9896,"The product came with defect, works only from time to time, because most of the time, he does not read the CD, or the drive is not recognized, and when this happens, it makes a different and high noise ",Keerthi,1,BTS Beautiful Pink Combination,17141
2019-05-18,12035,"It is cute gift.Feeling very happy when i got my loved one.Good delivery BTS team
",kaarthik,5,Jar Of Nothing,18660
2019-03-29,10832,"thank you so much, book the surprise team. I surprised my mom with this cake. it was very yummy and tasty. I felt happy. 
",kiran,5,BTS Chocolate Fantasy Cake,18128
2019-01-10,10325,"Your services are too good. Thanks for the perfect delivery.
",Kavitha,5,Central Perk – I’ll Be There For You,17369
2019-04-30,11513,"our room was decorated with balloons. seriously amazing surprise  nice 
",geethika ,5,Helium Balloons & You,17987
2019-05-31,12392,"excellent cushion with beautiful photo i loved it alot 
",srivani,5,Monogram Cushion For Father,18401
2018-12-11,9966,"Thanks for the beautiful and delicious cake! 
",Sagar,5,BTS Pineapple Awe,6134
2019-05-02,11606,Very nice plush.Advantages: tuning of sound levels and soundsInconvenient: motor noise that inflates the belly,harini,4,Exhilarating Retirement Surprise,34915
2019-03-10,10620,"Really nice experience. Delivered on time and bouquet also filled with a bunch of flowers which are really fresh. 
",geetha,5,BTS Memorable Expression,15848
